ISU,GENDER,DATE_BIRTH,ST_YEAR,SEMESTER,DISC_ID,MAIN_PLAN,TYPE_NAME,MARK
10629403761260861411,М,1975,2020/2021,4.0,13112935959748478559,10080731777079285074,Дифференцированный зачет,3.471698113207548
10629403761260861411,М,1975,2018/2019,2.0,9080510863460073035,15820306466107805201,Дифференцированный зачет,4.243902439024391
10629403761260861411,М,1975,2019/2020,4.0,5019820477479850617,3636112309748229871,Экзамен,4.652173913043479
10629403761260861411,М,1975,2018/2019,2.0,2604062592206042930,3636112309748229871,Дифференцированный зачет,4.266666666666667
10629403761260861411,М,1975,2018/2019,2.0,2604062592206042930,3636112309748229871,Курсовой проект,4.266666666666667
10629403761260861411,М,1975,2018/2019,1.0,2604062592206042930,3636112309748229871,Зачет,
10629403761260861411,М,1975,2019/2020,2.0,8210405244786072071,3259025934245756351,Дифференцированный зачет,4.2105263157894735
10629403761260861411,М,1975,2019/2020,2.0,8210405244786072071,3259025934245756351,Курсовой проект,4.2105263157894735
10629403761260861411,М,1975,2019/2020,1.0,8210405244786072071,3259025934245756351,Зачет,
10629403761260861411,М,1975,2019/2020,4.0,14529256835041945510,3636112309748229871,Дифференцированный зачет,4.826086956521739
10629403761260861411,М,1975,2020/2021,4.0,14529256835041945510,3259025934245756351,Дифференцированный зачет,4.608695652173913
10629403761260861411,М,1975,2019/2020,2.0,2687832118983576082,10080731777079285074,Дифференцированный зачет,3.4295774647887325
10629403761260861411,М,1975,2020/2021,2.0,2687832118983576082,7022805511762894813,Дифференцированный зачет,3.718978102189781
10629403761260861411,М,1975,2020/2021,3.0,2687832118983576082,10080731777079285074,Экзамен,3.343873517786561
10629403761260861411,М,1975,2019/2020,3.0,186925109830921404,5702036724245840580,Экзамен,3.4948453608247423
10629403761260861411,М,1975,2019/2020,2.0,3349554631096550219,4277008905584954292,Экзамен,3.826923076923077
10629403761260861411,М,1975,2020/2021,4.0,18179989018279378066,3259025934245756351,Экзамен,3.772727272727273
10629403761260861411,М,1975,2020/2021,1.0,5638177065270669737,16237482972591189123,Экзамен,3.4285714285714284
6674699098929009726,М,1975,2019/2020,4.0,17237363968637761553,11623170453297887849,Экзамен,4.403225806451613
6674699098929009726,М,1975,2020/2021,6.0,14719644386433601024,11623170453297887849,Экзамен,4.74468085106383
6674699098929009726,М,1975,2018/2019,2.0,6673786453515598761,11623170453297887849,Экзамен,4.215189873417722
6674699098929009726,М,1975,2018/2019,1.0,6673786453515598761,11623170453297887849,Зачет,
6674699098929009726,М,1975,2019/2020,1.0,6673786453515598761,15970149812698605927,Зачет,
6674699098929009726,М,1975,2019/2020,1.0,6673786453515598761,15970149812698605927,Странный зачет,3.0
